H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.1715,0.15,0.5,1,36,13,3
0,0.1715,0.15,0.75,1,36,13,4
0,0.1715,0.15,1,1,36,13,5
0,0.1715,0.16,0.25,1,36,14,2
0,0.1715,0.16,0.5,1,36,14,3
0,0.1715,0.16,0.75,1,36,14,4
0,0.1715,0.17,0.25,1,36,15,2
0,0.1715,0.17,0.5,1,36,15,3
0,0.202612,0.08,1,1,38,6,5
0,0.202612,0.09,0.75,1,38,7,4
0,0.202612,0.09,1,1,38,7,5
0,0.202612,0.1,0.75,1,38,8,4
0,0.202612,0.1,1,1,38,8,5
0,0.202612,0.11,0.5,1,38,9,3
0,0.202612,0.11,0.75,1,38,9,4
0,0.202612,0.11,1,1,38,9,5
0,0.202612,0.12,0.5,1,38,10,3
0,0.202612,0.12,0.75,1,38,10,4
0,0.202612,0.12,1,1,38,10,5
0,0.202612,0.13,0.25,1,38,11,2
0,0.202612,0.13,0.5,1,38,11,3
0,0.202612,0.13,0.75,1,38,11,4
0,0.202612,0.13,1,1,38,11,5
0,0.202612,0.14,0.25,1,38,12,2
0,0.202612,0.14,0.5,1,38,12,3
0,0.202612,0.14,0.75,1,38,12,4
0,0.202612,0.14,1,1,38,12,5
0,0.202612,0.15,0.25,1,38,13,2
0,0.202612,0.15,0.5,1,38,13,3
0,0.202612,0.15,0.75,1,38,13,4
0,0.202612,0.16,0.25,1,38,14,2
0,0.202612,0.16,0.5,1,38,14,3
0,0.202612,0.17,0.25,1,38,15,2
0,0.219488,0.08,1,1,39,6,5
0,0.219488,0.09,0.75,1,39,7,4
0,0.219488,0.09,1,1,39,7,5
0,0.219488,0.1,0.5,1,39,8,3
0,0.219488,0.1,0.75,1,39,8,4
0,0.219488,0.1,1,1,39,8,5
0,0.219488,0.11,0.5,1,39,9,3
0,0.219488,0.11,0.75,1,39,9,4
0,0.219488,0.11,1,1,39,9,5
0,0.219488,0.12,0.25,1,39,10,2
0,0.219488,0.12,0.5,1,39,10,3
0,0.219488,0.12,0.75,1,39,10,4
0,0.219488,0.12,1,1,39,10,5
0,0.219488,0.13,0.25,1,39,11,2
0,0.219488,0.13,0.5,1,39,11,3
0,0.219488,0.13,0.75,1,39,11,4
0,0.219488,0.13,1,1,39,11,5
0,0.219488,0.14,0.25,1,39,12,2
0,0.219488,0.14,0.5,1,39,12,3
0,0.219488,0.14,0.75,1,39,12,4
0,0.219488,0.14,1,1,39,12,5
0,0.219488,0.15,0.25,1,39,13,2
0,0.219488,0.15,0.5,1,39,13,3
0,0.219488,0.16,0.25,1,39,14,2
0,0.237276,0.08,0.75,1,40,6,4
0,0.237276,0.08,1,1,40,6,5
0,0.237276,0.09,0.75,1,40,7,4
0,0.237276,0.09,1,1,40,7,5
0,0.237276,0.1,0.5,1,40,8,3
0,0.237276,0.1,0.75,1,40,8,4
0,0.237276,0.1,1,1,40,8,5
0,0.237276,0.11,0.5,1,40,9,3
0,0.237276,0.11,0.75,1,40,9,4
0,0.237276,0.11,1,1,40,9,5
0,0.237276,0.12,0.25,1,40,10,2
0,0.237276,0.12,0.5,1,40,10,3
0,0.237276,0.12,0.75,1,40,10,4
0,0.237276,0.12,1,1,40,10,5
0,0.237276,0.13,0.25,1,40,11,2
0,0.237276,0.13,0.5,1,40,11,3
0,0.237276,0.13,0.75,1,40,11,4
0,0.237276,0.13,1,1,40,11,5
0,0.237276,0.14,0.25,1,40,12,2
0,0.237276,0.14,0.5,1,40,12,3
0,0.237276,0.14,0.75,1,40,12,4
0,0.237276,0.15,0,1,40,13,1
0,0.237276,0.15,0.25,1,40,13,2
0,0.237276,0.16,0,1,40,14,1
0,0.237276,0.16,0.25,1,40,14,2
0,0.256,0.07,1,1,41,5,5
0,0.256,0.08,0.75,1,41,6,4
0,0.256,0.08,1,1,41,6,5
0,0.256,0.09,0.5,1,41,7,3
0,0.256,0.09,0.75,1,41,7,4
0,0.256,0.09,1,1,41,7,5
0,0.256,0.1,0.5,1,41,8,3
0,0.256,0.1,0.75,1,41,8,4
0,0.256,0.1,1,1,41,8,5
0,0.256,0.11,0.25,1,41,9,2
0,0.256,0.11,0.5,1,41,9,3
0,0.256,0.11,0.75,1,41,9,4
0,0.256,0.11,1,1,41,9,5
0,0.256,0.12,0.25,1,41,10,2
